measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Austria,Both,All Ages,Years,2015,71.054348,73.705231,68.025532
HALE (Healthy life expectancy),Belgium,Both,All Ages,Years,2015,70.308617,73.009602,67.366299
HALE (Healthy life expectancy),Cyprus,Both,All Ages,Years,2015,71.308225,74.018532,68.239674
HALE (Healthy life expectancy),Denmark,Both,All Ages,Years,2015,70.31502,72.889378,67.399223
HALE (Healthy life expectancy),Finland,Both,All Ages,Years,2015,70.496817,73.095486,67.402802
HALE (Healthy life expectancy),France,Both,All Ages,Years,2015,71.596149,74.222446,68.540432
HALE (Healthy life expectancy),Germany,Both,All Ages,Years,2015,70.596356,73.220158,67.632687
HALE (Healthy life expectancy),Greece,Both,All Ages,Years,2015,71.1291,73.641064,68.235096
HALE (Healthy life expectancy),Ireland,Both,All Ages,Years,2015,71.31234,73.972309,68.181175
HALE (Healthy life expectancy),Italy,Both,All Ages,Years,2015,71.895741,74.527691,68.849979
HALE (Healthy life expectancy),Luxembourg,Both,All Ages,Years,2015,71.346676,74.120934,68.203598
HALE (Healthy life expectancy),Malta,Both,All Ages,Years,2015,71.600634,74.276848,68.522434
HALE (Healthy life expectancy),Netherlands,Both,All Ages,Years,2015,70.935681,73.587467,67.972233
HALE (Healthy life expectancy),Portugal,Both,All Ages,Years,2015,70.556122,73.186146,67.549477
HALE (Healthy life expectancy),Spain,Both,All Ages,Years,2015,72.632702,75.230377,69.697788
HALE (Healthy life expectancy),Sweden,Both,All Ages,Years,2015,71.895334,74.504135,68.991798
HALE (Healthy life expectancy),United Kingdom,Both,All Ages,Years,2015,70.995384,73.539272,68.090408
